channel,band,comparison,beta,p,p_fdr,significant
F1,Delta,COM vs TD,0.08292000841306582,0.5737780826797522,0.9999999352048242,False
F1,Theta,ADHD vs TD,0.13215072289920443,0.3028368053143937,0.9999999352048242,False
F1,Theta,COM vs TD,0.003545432081685853,0.9772906231773524,0.9999999352048242,False
F1,Alpha,ADHD vs TD,0.03326710323024473,0.8229836394645402,0.9999999352048242,False
F1,Alpha,COM vs TD,-0.009566772162789923,0.9471802614178138,0.9999999352048242,False
F1,Beta,ADHD vs TD,0.12681217301585263,0.4188587081909746,0.9999999352048242,False
F1,Beta,COM vs TD,0.011413153809178268,0.9402747859957549,0.9999999352048242,False
F1,Gamma,ADHD vs TD,0.18150421499399313,0.22427011082979809,0.9999999352048242,False
F1,Gamma,COM vs TD,-0.020857138189587156,0.8856674522477938,0.9999999352048242,False
F2,Delta,ADHD vs TD,0.14953881828472287,0.36065223833488946,0.9999999352048242,False
F2,Delta,COM vs TD,0.03287762703171049,0.8360495238573118,0.9999999352048242,False
F2,Theta,ADHD vs TD,0.11531654417444351,0.39946024395573054,0.9999999352048242,False
F2,Theta,COM vs TD,0.01984228816061983,0.8813210616886663,0.9999999352048242,False
F2,Alpha,ADHD vs TD,0.01870817529008757,0.9051774746192346,0.9999999352048242,False
F2,Alpha,COM vs TD,-0.0310104446028157,0.8388709594160062,0.9999999352048242,False
F2,Beta,ADHD vs TD,0.01980831349045159,0.888240572722085,0.9999999352048242,False
F2,Beta,COM vs TD,-0.06827850240245059,0.6179027802939607,0.9999999352048242,False
F2,Gamma,ADHD vs TD,0.07614559199754539,0.6158858772065654,0.9999999352048242,False
F2,Gamma,COM vs TD,-0.1409607825815119,0.3389465918724537,0.9999999352048242,False
F3,Delta,ADHD vs TD,0.16008697827748167,0.23381178715555417,0.9999999352048242,False
F3,Delta,COM vs TD,0.06776661094717729,0.6038101405725218,0.9999999352048242,False
F3,Theta,ADHD vs TD,0.12939617816393134,0.2836655951337672,0.9999999352048242,False
F3,Theta,COM vs TD,0.02090170623668704,0.8584646820452344,0.9999999352048242,False
