metric,freq_band,test,statistic,p,effect_size,es_name,all_normal,is_homogeneous,p_fdr,significant
within_frontal_L,gamma,Kruskal-Wallis,2.6959783913565474,0.25976206653130895,0.022450915850211205,ε²,False,True,0.7752809772199897,False
within_frontal_R,delta,ANOVA,1.6987213988130527,0.199503637902641,0.0987702143329265,η²,True,True,0.7752809772199897,False
within_frontal_R,theta,ANOVA,1.1818841571512668,0.3201417065755486,0.07084836137317353,η²,True,True,0.777188109944333,False
within_frontal_R,alpha,ANOVA,0.8382825634626108,0.44202016204243283,0.0513078752437092,η²,True,True,0.786900791094151,False
within_frontal_R,beta,Kruskal-Wallis,4.312364945978402,0.1157662192190635,0.07459241761220652,ε²,False,True,0.7752809772199897,False
within_frontal_R,gamma,ANOVA,1.3027216417331404,0.2862575915889193,0.07753039474852431,η²,True,True,0.7752809772199897,False
within_left_pot,delta,ANOVA,0.06537787521086842,0.936842236173659,0.004200211246717475,η²,True,True,0.936842236173659,False
within_left_pot,theta,Kruskal-Wallis,0.3640456182473031,0.8335823269165271,-0.05277272199202248,ε²,False,True,0.9159925033297163,False
within_left_pot,alpha,ANOVA,0.3078181231059028,0.7372697222968945,0.019472524336294886,η²,True,True,0.8557594990946096,False
within_left_pot,beta,Kruskal-Wallis,4.008703481392558,0.1347476187859771,0.06479688649653415,ε²,False,True,0.7752809772199897,False
within_left_pot,gamma,ANOVA,1.207767392018998,0.31254014306859473,0.07228777871278762,η²,True,True,0.777188109944333,False
within_posterior_L,delta,ANOVA,0.41665241057527796,0.6628869545666967,0.026177138246635912,η²,True,True,0.8557594990946096,False
within_posterior_L,theta,ANOVA,0.3200355697455319,0.7284936312680665,0.020229762969532872,η²,True,True,0.8557594990946096,False
within_posterior_L,alpha,Welch's ANOVA,2.806551736987056,0.24579046642795943,0.06159380879389881,η²,True,False,0.7752809772199897,False
within_posterior_L,beta,Kruskal-Wallis,1.7570828331332535,0.4153883485977973,-0.007836037640862789,ε²,False,True,0.786900791094151,False
within_posterior_L,gamma,Kruskal-Wallis,4.606242496998803,0.09994639882003234,0.08407233861286462,ε²,False,True,0.7752809772199897,False
within_posterior_R,delta,ANOVA,0.3856462250742633,0.6832278804448777,0.02427639515637424,η²,True,True,0.8557594990946096,False
within_posterior_R,theta,ANOVA,4.2861236329705195,0.022727422528410864,0.21662270551207682,η²,True,True,0.7752809772199897,False
within_posterior_R,alpha,Kruskal-Wallis,0.8569027611044504,0.6515172661938475,-0.0368741044805016,ε²,False,True,0.8557594990946096,False
within_posterior_R,beta,ANOVA,2.450027557717273,0.10283287236592203,0.13649157639671314,η²,True,True,0.7752809772199897,False
within_posterior_R,gamma,ANOVA,0.3289316701148244,0.7221733440115008,0.020780408745831633,η²,True,True,0.8557594990946096,False
within_prefrontal,delta,Kruskal-Wallis,3.3199279711884913,0.19014582796720972,0.04257832165124165,ε²,False,True,0.7752809772199897,False
within_prefrontal,theta,Kruskal-Wallis,0.696158463385359,0.706042933021489,-0.0420594044069239,ε²,False,True,0.8557594990946096,False
within_prefrontal,alpha,ANOVA,1.6365383493340773,0.21102471150043137,0.09549993796720778,η²,True,True,0.7752809772199897,False
within_prefrontal,beta,Kruskal-Wallis,2.5767707082833198,0.27571560693944247,0.018605506718816767,ε²,False,True,0.7752809772199897,False
within_prefrontal,gamma,ANOVA,1.1206974405113548,0.3389050522990779,0.06742782272058956,η²,True,True,0.777188109944333,False
