roi,band,comparison,beta,se,p,icc,p_fdr,significant
central,Gamma,ADHD vs TD,0.11885144398557283,0.15378424681190167,0.4396138956486835,0.6977665010744941,0.9999995732716651,False
central,Gamma,COM vs TD,-0.04038247199990195,0.14934492857235154,0.7868545833414438,0.6977665010744941,0.9999995732716651,False
parietal,Delta,ADHD vs TD,0.06029729861936048,0.11613392568595668,0.6036178903439842,0.6214036938271686,0.9999995732716651,False
parietal,Delta,COM vs TD,0.007820740889528097,0.11278717266251612,0.9447184341001957,0.6214036938271686,0.9999995732716651,False
parietal,Theta,ADHD vs TD,0.1293987645868797,0.12346744937216515,0.29462040588856986,0.7936956285774516,0.9999995732716651,False
parietal,Theta,COM vs TD,0.0765711199171982,0.11989723000518672,0.5230574087348828,0.7936956285774516,0.9999995732716651,False
parietal,Alpha,ADHD vs TD,0.04685508752231665,0.1540070566694022,0.7609451486440579,0.7174546959345347,0.9999995732716651,False
parietal,Alpha,COM vs TD,0.027264303251097577,0.14955960395791962,0.8553494633277828,0.7174546959345347,0.9999995732716651,False
parietal,Beta,ADHD vs TD,0.07580236512766843,0.1031886244028964,0.4625831283164854,0.8304054630151597,0.9999995732716651,False
parietal,Beta,COM vs TD,0.07915037563847693,0.10020313418465317,0.42958663800050667,0.8304054630151597,0.9999995732716651,False
parietal,Gamma,ADHD vs TD,0.1940495529749722,0.0995263855920612,0.05120834077552809,0.5434595295976574,0.9999995732716651,False
parietal,Gamma,COM vs TD,0.021699553267507055,0.09666448577748685,0.8223813364276223,0.5434595295976574,0.9999995732716651,False
occipital,Delta,ADHD vs TD,0.06484830972157513,0.11374801827681902,0.5686065093874195,0.588891209104845,0.9999995732716651,False
occipital,Delta,COM vs TD,-0.012885908657709074,0.11047286440505022,0.9071428009900756,0.588891209104845,0.9999995732716651,False
occipital,Theta,ADHD vs TD,0.10942880090398918,0.11832039661575144,0.3550431373838856,0.7662758809863958,0.9999995732716651,False
occipital,Theta,COM vs TD,0.036029547523375484,0.11490053980813984,0.7538464229102276,0.7662758809863958,0.9999995732716651,False
occipital,Alpha,ADHD vs TD,0.03697212375182175,0.15985989126254402,0.8170986044807658,0.6944178607484862,0.9999995732716651,False
occipital,Alpha,COM vs TD,0.002257561932610017,0.15524550051685565,0.9883976648450478,0.6944178607484862,0.9999995732716651,False
occipital,Beta,ADHD vs TD,0.05681337470937162,0.08751092826505041,0.5161996581884313,0.7696715391728335,0.9999995732716651,False
occipital,Beta,COM vs TD,0.03945691739702615,0.08498140993247696,0.6424324129185248,0.7696715391728335,0.9999995732716651,False
occipital,Gamma,ADHD vs TD,0.17254507835429814,0.09862158833332971,0.08019305483897905,0.5196741769651687,0.9999995732716651,False
occipital,Gamma,COM vs TD,0.01810937704856485,0.09578806800039032,0.8500483695217662,0.5196741769651687,0.9999995732716651,False
temporal,Delta,ADHD vs TD,-1.2757004002287005,1097020.4169780852,0.9999990721579674,0.0,0.9999995732716651,False
temporal,Delta,COM vs TD,-0.5611101927724111,1049147.9547021687,0.9999995732716651,0.0,0.9999995732716651,False
temporal,Theta,ADHD vs TD,0.07247659563804337,0.10754070132929139,0.5003458220439755,0.7440277237227578,0.9999995732716651,False
temporal,Theta,COM vs TD,0.013687615575937007,0.10443360176659282,0.8957236946156188,0.7440277237227578,0.9999995732716651,False
temporal,Alpha,ADHD vs TD,0.03569293744404667,0.16113493612209218,0.8246956519116206,0.764779106475776,0.9999995732716651,False
temporal,Alpha,COM vs TD,0.024572446394497027,0.15647770825098578,0.875217417997984,0.764779106475776,0.9999995732716651,False
temporal,Beta,ADHD vs TD,0.016739467501387117,0.09895141317787383,0.8656640634003618,0.7695188759591252,0.9999995732716651,False
temporal,Beta,COM vs TD,0.015275912762897996,0.09609121392635916,0.8736901116313698,0.7695188759591252,0.9999995732716651,False
temporal,Gamma,ADHD vs TD,-1.3831903945111483,1133521.2026835582,0.9999990263735183,0.0,0.9999995732716651,False
temporal,Gamma,COM vs TD,-3.167481364283971,1084055.8963187342,0.9999976686769697,0.0,0.9999995732716651,False
